日期,小红书_koc,抖音_koc,抖音_直播,微博_热搜位,百度_热搜位,长视频_独家冠名,论坛_大V,央视_黄金档硬广,央视_黄金档冠名,央视频,AI_问答类,天猫_站内,天猫_站外,京东_站内,京东_站外,电梯广告_写字楼,电梯广告_小区,商场大屏,机场,高铁,候车亭,户外广告牌,全域投放量,大促热度,市场竞争指数,品牌大众认知指数,品牌社媒搜索指数,品牌电商搜索指数,品牌线上销量指数,品牌线下销量指数
2022/1/1,3174,4651,784,78851,2566,24323,1842,79893,57555,7840,650,543,582,626,789,506,3282,6601,14682,45500,9926,4244,20116.90884,65,36,73,98,37,46,16
2022/1/2,5925,3511,520,90180,1805,73220,648,81877,68562,8408,994,516,924,627,863,2076,8169,12048,37724,27774,6657,9056,46264.81026,67,56,69,11,83,32,98
2022/1/3,9438,3020,892,51113,1460,30175,2596,71483,63464,3295,852,949,881,800,589,7176,3658,20564,20343,54526,7777,8346,20271.3604,37,35,88,30,58,33,90
2022/1/4,2966,1744,701,22519,784,90103,1256,93961,58033,1792,538,668,972,883,906,8587,9553,47601,49916,33579,8605,9519,684.6250308,5,77,60,14,68,34,95
2022/1/5,3556,1037,948,80145,1845,16744,1125,81551,61252,9229,910,856,965,555,907,644,5750,19169,48307,40336,6646,1625,54063.56493,27,34,74,72,67,95,15
2022/1/6,7207,733,666,95128,1669,79850,2952,32172,80705,6705,552,557,605,544,874,1814,1131,35930,23561,32887,5069,7444,33215.20266,25,95,55,69,18,52,32
2022/1/7,3579,1949,982,66265,2051,32959,159,45274,94321,4721,624,680,620,786,614,5150,7338,17072,45702,23001,6432,6687,11568.19409,45,12,9,37,65,10,59
2022/1/8,6770,4093,544,51102,1572,78544,1302,52309,99430,5428,775,908,617,669,621,9546,6258,7590,18206,40266,7594,9618,50077.99907,78,28,72,99,75,28,0
2022/1/9,2187,2048,614,52339,2505,36121,328,60990,95442,3250,692,793,664,906,851,6337,9216,48797,51707,40813,8030,4359,56027.7999,91,23,6,38,25,64,42
2022/1/10,3170,2043,808,97994,816,31598,867,41005,90114,8287,687,747,856,538,963,5649,7144,45502,19890,22294,9383,6198,250.4594364,63,83,89,48,78,24,56
2022/1/11,8861,4507,526,77874,946,23090,1743,66144,78981,6377,643,896,626,657,987,2688,5808,18390,14800,37704,5177,7167,24618.26319,88,0,61,85,32,63,84
2022/1/12,7174,4830,574,37636,655,92138,2465,68707,75547,6645,812,790,880,943,765,1762,6825,49088,17293,21021,6867,3458,46926.31896,28,48,60,6,1,23,90
2022/1/13,3414,3256,912,12469,543,19151,158,82153,50570,1679,861,696,880,697,859,9426,6028,34522,22731,36936,6348,7474,7685.807065,87,30,47,40,31,52,1
2022/1/14,7647,3153,907,74313,2683,35757,2406,34362,81744,9159,604,776,845,520,586,4359,1031,15105,30645,36926,9157,3459,3592.684229,69,79,31,38,50,37,0
2022/1/15,6164,3735,769,65330,1931,76715,479,53625,67867,7696,917,922,767,562,858,7151,6414,31387,40305,53729,9737,4560,52409.99923,92,55,25,57,45,57,73
2022/1/16,2839,4266,868,91988,1250,83580,302,76110,81191,9067,953,663,678,566,721,3360,3283,41128,22723,26711,8742,9504,7397.886496,77,29,98,46,70,75,4
2022/1/17,8976,1288,956,78206,1469,61551,320,37973,56456,6854,753,634,666,971,957,8541,9759,27198,40467,15967,9658,3187,70965.85335,68,53,90,3,40,50,4
2022/1/18,7232,950,742,17036,990,75446,2372,67679,67696,3665,635,901,825,872,683,6023,3338,28778,42701,41448,5392,7922,2011.809755,80,55,49,84,39,74,54
2022/1/19,9841,3813,921,64542,910,50892,203,72893,55754,7934,687,697,587,571,512,1263,1349,53494,52253,22672,6222,1422,12890.19175,63,4,56,19,63,90,73
2022/1/20,6325,4300,980,20064,2057,50661,975,44042,79765,1807,874,964,829,703,602,5235,9700,46484,45615,47633,7149,8725,55859.37233,30,19,65,27,16,53,69
2022/1/21,2486,2626,760,3545,1386,87689,2181,32050,55405,5978,625,578,592,980,746,9504,7951,11504,37186,55958,6688,3380,22076.43383,41,10,31,40,95,86,77
2022/1/22,2377,4625,936,7936,1605,89065,2994,46712,57348,8465,636,500,703,768,970,5974,8867,38785,55563,37083,5785,9928,83127.3234,61,74,18,55,50,37,40
2022/1/23,2166,4011,708,8966,1241,92463,815,82748,66401,2352,957,865,627,597,533,6441,9567,21203,22345,10365,5710,2938,28480.94851,44,78,38,92,6,28,65
2022/1/24,7966,3412,531,53662,425,87941,2402,69325,81390,7081,938,659,509,590,826,1605,2498,58477,50245,19102,8974,7991,32284.05869,51,19,93,63,2,7,6
2022/1/25,2449,3942,878,74753,1102,38885,2584,95184,89639,3897,621,870,747,517,882,9127,723,21322,45798,33172,9355,2378,72621.28105,61,11,74,1,39,91,97
2022/1/26,5897,1241,718,2949,1751,50119,2439,83700,52319,6538,964,895,825,823,904,9764,3412,25136,45420,53958,5418,2672,26594.72883,43,60,30,38,23,8,9
2022/1/27,9005,1710,529,95196,1100,78122,2837,49495,78015,5927,703,615,764,645,910,3820,6296,51012,56814,48526,9511,7237,6153.195371,67,78,54,20,18,90,32
2022/1/28,6010,4560,989,57150,763,59632,2036,36344,70545,1775,632,656,999,997,567,7558,2785,52269,55298,24720,8947,9140,20214.71547,31,43,4,68,8,5,9
